Date,Vaccinated 1st Dose (%),Vaccinated 2nd Dose (%),Total Vaccine Coverage (%)
2021-04-18T00:00:00+05:30,10.73,1.62,12.3499995470047
2021-04-25T00:00:00+05:30,11.28,2.27,13.549999713897705
2021-05-02T00:00:00+05:30,11.53,2.92,14.449999809265137
2021-05-09T00:00:00+05:30,11.47,3.65,15.12000036239624
2021-05-16T00:00:00+05:30,11.6,4.29,15.890000343322754
2021-05-23T00:00:00+05:30,12.36,4.42,16.77999973297119
2021-05-30T00:00:00+05:30,13.86,4.56,18.419999599456787
2021-06-06T00:00:00+05:30,15.56,4.75,20.3100004196167
2021-06-13T00:00:00+05:30,17.42,4.97,22.389999866485596
2021-06-20T00:00:00+05:30,19.36,5.28,24.640000820159912
2021-06-27T00:00:00+05:30,22.75,5.85,28.59999990463257
2021-07-04T00:00:00+05:30,24.2,6.69,30.890000820159912
2021-07-11T00:00:00+05:30,24.94,7.61,32.55000066757202
2021-07-18T00:00:00+05:30,25.62,8.69,34.3100004196167
2021-07-25T00:00:00+05:30,26.58,9.73,36.30999946594238
2021-08-01T00:00:00+05:30,27.96,10.87,38.82999897003174
2021-08-08T00:00:00+05:30,29.87,11.8,41.67000102996826
2021-08-15T00:00:00+05:30,31.9,12.73,44.6299991607666
2021-08-22T00:00:00+05:30,33.83,13.71,47.54000186920166
2021-08-29T00:00:00+05:30,36.18,15.28,51.46000003814697
2021-09-05T00:00:00+05:30,38.57,16.89,55.459999084472656
2021-09-12T00:00:00+05:30,40.77,18.79,59.560001373291016
2021-09-19T00:00:00+05:30,42.12,21.52,63.63999938964844
2021-09-26T00:00:00+05:30,42.92,23.85,66.76999855041504
2021-10-03T00:00:00+05:30,43.49,26.09,69.58000183105469
2021-10-10T00:00:00+05:30,43.73,28.28,72.01000022888184
2021-10-17T00:00:00+05:30,43.74,29.11,72.85000228881836
2021-10-24T00:00:00+05:30,43.1,31.61,74.70999908447266
2021-10-31T00:00:00+05:30,42.19,34.18,76.36999893188477
2021-11-07T00:00:00+05:30,41.59,35.61,77.20000076293945
2021-11-14T00:00:00+05:30,39.85,38.53,78.37999725341797
2021-11-21T00:00:00+05:30,38.12,41.77,79.88999938964844
2021-11-28T00:00:00+05:30,36.02,45.73,81.75
2021-12-05T00:00:00+05:30,33.71,49.77,83.47999954223633
2021-12-12T00:00:00+05:30,31.4,53.66,85.05999946594238
2021-12-19T00:00:00+05:30,29.1,57.16,86.26000022888184
2021-12-26T00:00:00+05:30,26.88,60.38,87.26000022888184
2022-01-02T00:00:00+05:30,24.74,63.53,88.26999855041504
2022-01-09T00:00:00+05:30,23.95,65.96,89.90999984741211
2022-01-16T00:00:00+05:30,22.8,68.48,91.28000259399414
2022-01-23T00:00:00+05:30,21.09,71.37,92.46000289916992
2022-01-30T00:00:00+05:30,19.54,73.3,92.84000396728516
2022-02-06T00:00:00+05:30,18.34,75.53,93.86999893188477
2022-02-13T00:00:00+05:30,17.29,77.04,94.33000183105469
2022-02-20T00:00:00+05:30,16.29,78.31,94.5999984741211
2022-02-27T00:00:00+05:30,15.36,79.43,94.78999996185303
2022-03-06T00:00:00+05:30,14.62,80.29,94.91000080108643
2022-03-13T00:00:00+05:30,13.89,81.11,95.00000095367432
2022-03-20T00:00:00+05:30,13.36,81.71,95.0699987411499
2022-03-27T00:00:00+05:30,12.82,82.31,95.12999725341797
2022-04-03T00:00:00+05:30,12.37,82.82,95.1899995803833
2022-04-10T00:00:00+05:30,11.98,83.25,95.22999954223633
2022-04-17T00:00:00+05:30,11.65,83.62,95.2700023651123
2022-04-24T00:00:00+05:30,11.28,84.01,95.29000186920166
2022-05-01T00:00:00+05:30,10.83,84.5,95.32999992370605
2022-05-08T00:00:00+05:30,10.44,84.97,95.41000080108643
2022-05-15T00:00:00+05:30,10.08,85.37,95.45000267028809
2022-05-22T00:00:00+05:30,9.74,85.75,95.48999977111816
2022-05-29T00:00:00+05:30,9.43,86.09,95.5199966430664
2022-06-05T00:00:00+05:30,9.16,86.4,95.56000137329102
2022-06-12T00:00:00+05:30,8.72,86.88,95.59999752044678
2022-06-19T00:00:00+05:30,8.36,87.28,95.63999843597412
2022-06-26T00:00:00+05:30,8.03,87.63,95.65999698638916
2022-07-03T00:00:00+05:30,7.77,87.93,95.7000002861023
2022-07-10T00:00:00+05:30,7.5,88.24,95.73999786376953
2022-07-17T00:00:00+05:30,7.29,88.48,95.77000331878662
2022-07-24T00:00:00+05:30,7.09,88.74,95.82999801635742
2022-07-31T00:00:00+05:30,6.95,88.91,95.86000347137451
