Date,Non Vaccinated ,1st Dose,2nd Dose
2021-04-18T00:00:00+05:30,4.73,0.8,0.0
2021-04-25T00:00:00+05:30,5.66,0.93,0.13
2021-05-02T00:00:00+05:30,6.8,0.83,0.25
2021-05-09T00:00:00+05:30,7.04,0.65,0.24
2021-05-16T00:00:00+05:30,6.51,0.56,0.12
2021-05-23T00:00:00+05:30,5.22,0.45,0.11
2021-05-30T00:00:00+05:30,3.82,0.28,0.21
2021-06-06T00:00:00+05:30,2.63,0.05,0.21
2021-06-13T00:00:00+05:30,2.04,0.03,0.1
2021-06-20T00:00:00+05:30,1.68,0.02,0.0
2021-06-27T00:00:00+05:30,1.23,0.02,0.0
2021-07-04T00:00:00+05:30,0.91,0.03,0.11
2021-07-11T00:00:00+05:30,0.67,0.02,0.11
2021-07-18T00:00:00+05:30,0.59,0.02,0.0
2021-07-25T00:00:00+05:30,0.67,0.02,0.0
2021-08-01T00:00:00+05:30,0.65,0.01,0.0
2021-08-08T00:00:00+05:30,0.5,0.01,0.02
2021-08-15T00:00:00+05:30,0.4,0.01,0.04
2021-08-22T00:00:00+05:30,0.44,0.01,0.0
2021-08-29T00:00:00+05:30,0.28,0.0,0.02
2021-09-05T00:00:00+05:30,0.17,0.01,0.0
2021-09-12T00:00:00+05:30,0.24,0.0,0.0
2021-09-19T00:00:00+05:30,0.21,0.0,0.0
2021-09-26T00:00:00+05:30,0.21,0.0,0.01
2021-10-03T00:00:00+05:30,0.22,0.0,0.01
2021-10-10T00:00:00+05:30,0.17,0.0,0.0
2021-10-17T00:00:00+05:30,0.14,0.0,0.0
2021-10-24T00:00:00+05:30,0.16,0.0,0.0
2021-10-31T00:00:00+05:30,0.13,0.0,0.0
2021-11-07T00:00:00+05:30,0.16,0.0,0.0
2021-11-14T00:00:00+05:30,0.09,0.0,0.01
2021-11-21T00:00:00+05:30,0.11,0.0,0.0
2021-11-28T00:00:00+05:30,0.09,0.0,0.0
2021-12-05T00:00:00+05:30,0.09,0.0,0.0
2021-12-12T00:00:00+05:30,0.14,0.0,0.0
2021-12-19T00:00:00+05:30,0.21,0.0,0.0
2021-12-26T00:00:00+05:30,0.07,0.0,0.0
2022-01-02T00:00:00+05:30,0.08,0.01,0.0
2022-01-09T00:00:00+05:30,0.68,0.01,0.01
2022-01-16T00:00:00+05:30,1.88,0.02,0.02
2022-01-23T00:00:00+05:30,3.65,0.01,0.03
2022-01-30T00:00:00+05:30,3.71,0.02,0.02
2022-02-06T00:00:00+05:30,2.18,0.01,0.0
2022-02-13T00:00:00+05:30,1.36,0.0,0.01
2022-02-20T00:00:00+05:30,0.55,0.0,0.0
2022-02-27T00:00:00+05:30,0.54,0.0,0.0
2022-03-06T00:00:00+05:30,0.31,0.02,0.0
2022-03-13T00:00:00+05:30,0.25,0.0,0.0
2022-03-20T00:00:00+05:30,0.19,0.0,0.0
2022-03-27T00:00:00+05:30,0.1,0.0,0.0
2022-04-03T00:00:00+05:30,0.03,0.0,0.0
2022-04-10T00:00:00+05:30,0.03,0.0,0.0
2022-04-17T00:00:00+05:30,0.03,0.0,0.0
2022-04-24T00:00:00+05:30,0.0,0.0,0.0
2022-05-01T00:00:00+05:30,0.0,0.0,0.0
2022-05-08T00:00:00+05:30,0.03,0.0,0.0
2022-05-15T00:00:00+05:30,0.1,0.0,0.0
2022-05-22T00:00:00+05:30,0.04,0.0,0.0
2022-05-29T00:00:00+05:30,0.07,0.0,0.0
2022-06-05T00:00:00+05:30,0.04,0.0,0.0
2022-06-12T00:00:00+05:30,0.22,0.0,0.0
2022-06-19T00:00:00+05:30,0.18,0.0,0.0
2022-06-26T00:00:00+05:30,0.33,0.0,0.0
2022-07-03T00:00:00+05:30,0.34,0.0,0.0
2022-07-10T00:00:00+05:30,0.64,0.0,0.0
2022-07-17T00:00:00+05:30,0.34,0.0,0.0
2022-07-24T00:00:00+05:30,0.35,0.0,0.0
2022-07-31T00:00:00+05:30,0.16,0.0,0.0
