Link,Title,Image
https://asura.gg/manga/overpowered-sword/,Overpowered Sword,https://asura.gg/wp-content/uploads/2022/06/overpoweredswordCover01.png
https://asura.gg/manga/heavenly-demon-instructor/,Heavenly Demon Instructor,https://asura.gg/wp-content/uploads/2021/12/heavenlydemoninstructor-1.jpg
https://asura.gg/manga/dungeon-odyssey/,Dungeon Odyssey,https://asura.gg/wp-content/uploads/2022/09/resource-2.jpeg
https://asura.gg/manga/reincarnated-escort-warrior/,Reincarnated Escort Warrior,https://asura.gg/wp-content/uploads/2022/07/Untitled-1.jpg
https://asura.gg/manga/my-daughter-is-a-dragon/,My Daughter is a Dragon!,https://asura.gg/wp-content/uploads/2022/08/DaughterDragonCover01.png
https://asura.gg/manga/the-game-that-i-came-from/,The Game That I Came From,https://asura.gg/wp-content/uploads/2021/03/Cover-1.jpg
https://asura.gg/manga/solo-max-level-newbie/,Solo Max-Level Newbie,https://asura.gg/wp-content/uploads/2021/07/solomaxlevelnewbie.jpg
https://asura.gg/manga/archmage-transcending-through-regression/,Archmage Transcending Through Regression,https://asura.gg/wp-content/uploads/2022/10/resource.jpeg
https://asura.gg/manga/the-greatest-estate-developer/,The Greatest Estate Developer,https://asura.gg/wp-content/uploads/2022/09/EstateDevCover01.png
https://asura.gg/manga/kill-the-dragon/,Kill The Dragon,https://asura.gg/wp-content/uploads/2022/04/coverrr.jpg
https://asura.gg/manga/reincarnation-of-the-strongest-sword-god/,Reincarnation Of The Strongest Sword God,https://asura.gg/wp-content/uploads/2022/08/SwordGodCover01.png
https://asura.gg/manga/sword-fanatic-wanders-through-the-night/,Sword Fanatic Wanders Through The Night,https://asura.gg/wp-content/uploads/2022/06/swordfanaticCover01.png
https://asura.gg/manga/never-die-extra/,Never Die Extra,https://asura.gg/wp-content/uploads/2022/09/resource.jpg
https://asura.gg/manga/legendary-youngest-son-of-the-marquis-house-manhwa/,Legendary Youngest Son of the Marquis House,https://asura.gg/wp-content/uploads/2022/03/legendarymarquis.jpg
https://asura.gg/manga/the-heavenly-demon-cant-live-a-normal-life/,The Heavenly Demon Can’t Live a Normal Life,https://asura.gg/wp-content/uploads/2021/06/sogdo-is-depressed.jpg
https://asura.gg/manga/reaper-of-the-drifting-moon/,Reaper of the Drifting Moon,https://asura.gg/wp-content/uploads/2022/07/Reaper-Moon-Cover-Animation_Compressed.gif
https://asura.gg/manga/damn-reincarnation/,Damn Reincarnation,https://asura.gg/wp-content/uploads/2022/06/Damn_ReincarnationCover003.png
