Date,Non Vaccinated,1st Dose ,2nd Dose
2021-04-18T00:00:00+05:30,92.66,2.59,1.6
2021-04-25T00:00:00+05:30,110.04,2.97,2.02
2021-05-02T00:00:00+05:30,136.38,3.31,2.35
2021-05-09T00:00:00+05:30,148.59,3.14,2.05
2021-05-16T00:00:00+05:30,142.41,2.9,1.87
2021-05-23T00:00:00+05:30,122.19,2.19,1.55
2021-05-30T00:00:00+05:30,96.24,1.44,0.98
2021-06-06T00:00:00+05:30,70.08,1.09,0.7
2021-06-13T00:00:00+05:30,58.31,0.66,0.63
2021-06-20T00:00:00+05:30,46.39,0.48,0.48
2021-06-27T00:00:00+05:30,31.17,0.43,0.31
2021-07-04T00:00:00+05:30,24.25,0.39,0.2
2021-07-11T00:00:00+05:30,20.02,0.45,0.14
2021-07-18T00:00:00+05:30,16.93,0.44,0.29
2021-07-25T00:00:00+05:30,17.5,0.35,0.29
2021-08-01T00:00:00+05:30,17.9,0.31,0.19
2021-08-08T00:00:00+05:30,14.83,0.3,0.26
2021-08-15T00:00:00+05:30,13.06,0.17,0.24
2021-08-22T00:00:00+05:30,12.86,0.05,0.07
2021-08-29T00:00:00+05:30,11.94,0.1,0.13
2021-09-05T00:00:00+05:30,10.33,0.0,0.15
2021-09-12T00:00:00+05:30,9.53,0.14,0.14
2021-09-19T00:00:00+05:30,8.36,0.07,0.19
2021-09-26T00:00:00+05:30,12.06,0.11,0.18
2021-10-03T00:00:00+05:30,10.52,0.02,0.14
2021-10-10T00:00:00+05:30,9.95,0.04,0.12
2021-10-17T00:00:00+05:30,7.05,0.04,0.11
2021-10-24T00:00:00+05:30,6.83,0.07,0.08
2021-10-31T00:00:00+05:30,5.13,0.05,0.03
2021-11-07T00:00:00+05:30,6.0,0.05,0.04
2021-11-14T00:00:00+05:30,7.4,0.02,0.11
2021-11-21T00:00:00+05:30,5.76,0.05,0.09
2021-11-28T00:00:00+05:30,5.51,0.03,0.09
2021-12-05T00:00:00+05:30,5.35,0.03,0.09
2021-12-12T00:00:00+05:30,4.71,0.06,0.02
2021-12-19T00:00:00+05:30,6.47,0.0,0.09
2021-12-26T00:00:00+05:30,5.03,0.0,0.07
2022-01-02T00:00:00+05:30,6.18,0.0,0.07
2022-01-09T00:00:00+05:30,20.59,0.29,0.27
2022-01-16T00:00:00+05:30,36.87,0.59,0.59
2022-01-23T00:00:00+05:30,62.98,0.7,0.56
2022-01-30T00:00:00+05:30,62.94,0.55,0.52
2022-02-06T00:00:00+05:30,43.11,0.41,0.39
2022-02-13T00:00:00+05:30,21.68,0.38,0.21
2022-02-20T00:00:00+05:30,7.18,0.0,0.06
2022-02-27T00:00:00+05:30,4.24,0.0,0.07
2022-03-06T00:00:00+05:30,2.02,0.07,0.01
2022-03-13T00:00:00+05:30,0.89,0.0,0.0
2022-03-20T00:00:00+05:30,0.57,0.0,0.02
2022-03-27T00:00:00+05:30,0.41,0.0,0.01
2022-04-03T00:00:00+05:30,0.33,0.0,0.0
2022-04-10T00:00:00+05:30,0.58,0.0,0.0
2022-04-17T00:00:00+05:30,0.58,0.0,0.0
2022-04-24T00:00:00+05:30,0.41,0.0,0.01
2022-05-01T00:00:00+05:30,0.83,0.0,0.01
2022-05-08T00:00:00+05:30,0.67,0.0,0.0
2022-05-15T00:00:00+05:30,0.67,0.0,0.01
2022-05-22T00:00:00+05:30,0.42,0.0,0.0
2022-05-29T00:00:00+05:30,0.51,0.0,0.01
2022-06-05T00:00:00+05:30,0.42,0.0,0.03
2022-06-12T00:00:00+05:30,1.53,0.0,0.02
2022-06-19T00:00:00+05:30,2.56,0.14,0.02
2022-06-26T00:00:00+05:30,3.43,0.0,0.02
2022-07-03T00:00:00+05:30,2.92,0.0,0.02
2022-07-10T00:00:00+05:30,2.59,0.17,0.02
2022-07-17T00:00:00+05:30,3.46,0.0,0.04
2022-07-24T00:00:00+05:30,3.39,0.0,0.03
2022-07-31T00:00:00+05:30,1.57,0.0,0.01
