Date,Non Vaccinated ,1st Dose,2nd Dose
2021-04-18T00:00:00+05:30,32.17,0.98,0.0
2021-04-25T00:00:00+05:30,38.12,1.06,0.36
2021-05-02T00:00:00+05:30,46.88,1.05,0.69
2021-05-09T00:00:00+05:30,49.89,1.06,0.48
2021-05-16T00:00:00+05:30,46.17,0.97,0.45
2021-05-23T00:00:00+05:30,37.74,0.66,0.59
2021-05-30T00:00:00+05:30,28.37,0.36,0.39
2021-06-06T00:00:00+05:30,20.09,0.19,0.13
2021-06-13T00:00:00+05:30,16.49,0.23,0.13
2021-06-20T00:00:00+05:30,13.49,0.2,0.15
2021-06-27T00:00:00+05:30,8.97,0.1,0.11
2021-07-04T00:00:00+05:30,6.81,0.07,0.12
2021-07-11T00:00:00+05:30,5.51,0.09,0.1
2021-07-18T00:00:00+05:30,4.33,0.08,0.12
2021-07-25T00:00:00+05:30,4.95,0.11,0.16
2021-08-01T00:00:00+05:30,5.05,0.09,0.09
2021-08-08T00:00:00+05:30,3.9,0.05,0.03
2021-08-15T00:00:00+05:30,3.0,0.05,0.03
2021-08-22T00:00:00+05:30,3.18,0.05,0.04
2021-08-29T00:00:00+05:30,2.64,0.03,0.0
2021-09-05T00:00:00+05:30,2.1,0.04,0.02
2021-09-12T00:00:00+05:30,2.0,0.04,0.0
2021-09-19T00:00:00+05:30,2.03,0.06,0.0
2021-09-26T00:00:00+05:30,2.14,0.04,0.01
2021-10-03T00:00:00+05:30,2.19,0.02,0.01
2021-10-10T00:00:00+05:30,2.14,0.02,0.0
2021-10-17T00:00:00+05:30,1.68,0.05,0.02
2021-10-24T00:00:00+05:30,1.36,0.02,0.02
2021-10-31T00:00:00+05:30,1.16,0.05,0.02
2021-11-07T00:00:00+05:30,1.63,0.0,0.0
2021-11-14T00:00:00+05:30,2.01,0.01,0.01
2021-11-21T00:00:00+05:30,1.68,0.01,0.02
2021-11-28T00:00:00+05:30,1.74,0.02,0.0
2021-12-05T00:00:00+05:30,1.52,0.02,0.01
2021-12-12T00:00:00+05:30,2.29,0.0,0.01
2021-12-19T00:00:00+05:30,2.4,0.02,0.0
2021-12-26T00:00:00+05:30,1.48,0.02,0.01
2022-01-02T00:00:00+05:30,2.18,0.0,0.01
2022-01-09T00:00:00+05:30,9.08,0.03,0.03
2022-01-16T00:00:00+05:30,19.83,0.11,0.09
2022-01-23T00:00:00+05:30,37.1,0.0,0.11
2022-01-30T00:00:00+05:30,38.48,0.2,0.07
2022-02-06T00:00:00+05:30,27.03,0.11,0.08
2022-02-13T00:00:00+05:30,14.26,0.0,0.02
2022-02-20T00:00:00+05:30,8.42,0.04,0.0
2022-02-27T00:00:00+05:30,4.18,0.0,0.01
2022-03-06T00:00:00+05:30,3.43,0.0,0.01
2022-03-13T00:00:00+05:30,1.95,0.0,0.01
2022-03-20T00:00:00+05:30,1.33,0.0,0.01
2022-03-27T00:00:00+05:30,1.71,0.0,0.0
2022-04-03T00:00:00+05:30,1.4,0.0,0.0
2022-04-10T00:00:00+05:30,0.71,0.0,0.0
2022-04-17T00:00:00+05:30,0.72,0.0,0.0
2022-04-24T00:00:00+05:30,0.73,0.0,0.0
2022-05-01T00:00:00+05:30,0.37,0.0,0.0
2022-05-08T00:00:00+05:30,0.39,0.0,0.0
2022-05-15T00:00:00+05:30,0.4,0.0,0.0
2022-05-22T00:00:00+05:30,0.0,0.0,0.0
2022-05-29T00:00:00+05:30,0.84,0.0,0.0
2022-06-05T00:00:00+05:30,0.0,0.0,0.0
2022-06-12T00:00:00+05:30,0.87,0.09,0.0
2022-06-19T00:00:00+05:30,3.11,0.18,0.01
2022-06-26T00:00:00+05:30,6.33,0.0,0.0
2022-07-03T00:00:00+05:30,3.23,0.0,0.01
2022-07-10T00:00:00+05:30,5.22,0.0,0.0
2022-07-17T00:00:00+05:30,6.3,0.0,0.01
2022-07-24T00:00:00+05:30,3.01,0.11,0.01
2022-07-31T00:00:00+05:30,3.09,0.0,0.0
