Date,Non Vaccinated (Deaths),1st Dose (Deaths),2nd Dose (Deaths)
2021-04-18T00:00:00+05:30,19.18,1.72,0.46
2021-04-25T00:00:00+05:30,22.52,1.91,0.84
2021-05-02T00:00:00+05:30,27.23,2.0,1.22
2021-05-09T00:00:00+05:30,28.89,1.87,1.1
2021-05-16T00:00:00+05:30,27.12,1.67,1.01
2021-05-23T00:00:00+05:30,22.61,1.19,0.91
2021-05-30T00:00:00+05:30,17.29,0.71,0.62
2021-06-06T00:00:00+05:30,12.31,0.44,0.4
2021-06-13T00:00:00+05:30,10.04,0.3,0.34
2021-06-20T00:00:00+05:30,8.09,0.21,0.26
2021-06-27T00:00:00+05:30,5.52,0.15,0.17
2021-07-04T00:00:00+05:30,4.27,0.12,0.15
2021-07-11T00:00:00+05:30,3.46,0.13,0.12
2021-07-18T00:00:00+05:30,2.9,0.11,0.16
2021-07-25T00:00:00+05:30,3.14,0.1,0.18
2021-08-01T00:00:00+05:30,3.19,0.08,0.11
2021-08-08T00:00:00+05:30,2.59,0.06,0.11
2021-08-15T00:00:00+05:30,2.18,0.04,0.1
2021-08-22T00:00:00+05:30,2.24,0.03,0.04
2021-08-29T00:00:00+05:30,1.96,0.02,0.05
2021-09-05T00:00:00+05:30,1.63,0.01,0.05
2021-09-12T00:00:00+05:30,1.59,0.03,0.04
2021-09-19T00:00:00+05:30,1.45,0.02,0.05
2021-09-26T00:00:00+05:30,1.92,0.02,0.05
2021-10-03T00:00:00+05:30,1.77,0.01,0.04
2021-10-10T00:00:00+05:30,1.67,0.01,0.03
2021-10-17T00:00:00+05:30,1.22,0.01,0.03
2021-10-24T00:00:00+05:30,1.18,0.01,0.02
2021-10-31T00:00:00+05:30,0.92,0.02,0.01
2021-11-07T00:00:00+05:30,1.12,0.01,0.01
2021-11-14T00:00:00+05:30,1.3,0.01,0.03
2021-11-21T00:00:00+05:30,1.07,0.01,0.02
2021-11-28T00:00:00+05:30,1.03,0.01,0.02
2021-12-05T00:00:00+05:30,0.99,0.01,0.02
2021-12-12T00:00:00+05:30,1.03,0.01,0.01
2021-12-19T00:00:00+05:30,1.36,0.0,0.01
2021-12-26T00:00:00+05:30,0.96,0.01,0.01
2022-01-02T00:00:00+05:30,1.23,0.0,0.01
2022-01-09T00:00:00+05:30,4.93,0.04,0.05
2022-01-16T00:00:00+05:30,10.23,0.09,0.13
2022-01-23T00:00:00+05:30,18.9,0.08,0.13
2022-01-30T00:00:00+05:30,19.67,0.1,0.11
2022-02-06T00:00:00+05:30,13.63,0.06,0.08
2022-02-13T00:00:00+05:30,7.22,0.04,0.04
2022-02-20T00:00:00+05:30,2.75,0.01,0.01
2022-02-27T00:00:00+05:30,1.73,0.0,0.01
2022-03-06T00:00:00+05:30,0.96,0.02,0.0
2022-03-13T00:00:00+05:30,0.53,0.0,0.0
2022-03-20T00:00:00+05:30,0.36,0.0,0.01
2022-03-27T00:00:00+05:30,0.28,0.0,0.0
2022-04-03T00:00:00+05:30,0.2,0.0,0.0
2022-04-10T00:00:00+05:30,0.22,0.0,0.0
2022-04-17T00:00:00+05:30,0.22,0.0,0.0
2022-04-24T00:00:00+05:30,0.16,0.0,0.0
2022-05-01T00:00:00+05:30,0.25,0.0,0.0
2022-05-08T00:00:00+05:30,0.23,0.0,0.0
2022-05-15T00:00:00+05:30,0.28,0.0,0.0
2022-05-22T00:00:00+05:30,0.14,0.0,0.0
2022-05-29T00:00:00+05:30,0.24,0.0,0.0
2022-06-05T00:00:00+05:30,0.14,0.0,0.0
2022-06-12T00:00:00+05:30,0.63,0.01,0.0
2022-06-19T00:00:00+05:30,1.02,0.04,0.0
2022-06-26T00:00:00+05:30,1.54,0.0,0.0
2022-07-03T00:00:00+05:30,1.23,0.0,0.0
2022-07-10T00:00:00+05:30,1.44,0.01,0.0
2022-07-17T00:00:00+05:30,1.55,0.0,0.01
2022-07-24T00:00:00+05:30,1.37,0.01,0.01
2022-07-31T00:00:00+05:30,0.72,0.0,0.0
